official_page_name,world_bank_name_or_code
Arab Republic of Egypt,EGY
Egypt Arab Rep,EGY
the Democratic Republic of Congo,COD
the Republic of Congo,COG
Côte d’Ivoire,CIV
Cote d Ivoire,CIV
The Gambia,GMB
São Tomé and Príncipe,STP
Sao Tome and Principe,STP
Taiwan China,TWN
Virgin Islands British,VGB
British Virgin Islands,VGB
Korea Rep,KOR
Türkiye,TUR
Turkiye,TUR
West Bank and Gaza,PSE
Hong Kong SAR China,HKG
Russian Federation,RUT
Slovak Republic,SVK
Kyrgyz Republic,KGZ
Lao PDR,LAO
Iran Islamic Rep,IRN
Syrian Arab Republic,SYR
Viet Nam,VNM
Kosovo,XKX
Bonaire,BON
Curaçao,CUW
Curacao,CUW
Czechia,CZE
Czech Republic,CZE
Bolivia Plurinational State of,BOL
China Hong Kong Special Administrative Region,HKG
China Macao Special Administrative Region,MAC
Côte d'Ivoire,CIV
Ethiopia from 1993,ETH
Iran Islamic Republic of,IRN
Kyrgyzstan,KGZ
Lao People's Democratic Republic,LAO
Republic of Korea,KOR
Republic of Moldova,MDA
Saint Vincent and the Grenadines,VCT
Slovakia,SVK
Tanzania Mainland,TZA
Sudan up to 2011,SDN
Venezuela Bolivarian Republic of,VEN
